N_TECH_PARAM,PLATFORM_NUMBER,DATA_TYPE,FORMAT_VERSION,HANDBOOK_VERSION,DATA_CENTRE,DATE_CREATION,DATE_UPDATE,TECHNICAL_PARAMETER_NAME,TECHNICAL_PARAMETER_VALUE,CYCLE_NUMBER
0,6902746,Argo technical data,3.1,1.2,IF,20200902124003,20200908111752,NUMBER_ArgosPositioningClass0_COUNT,0,0.0
1,6902746,Argo technical data,3.1,1.2,IF,20200902124003,20200908111752,NUMBER_ArgosPositioningClass1_COUNT,1,0.0
2,6902746,Argo technical data,3.1,1.2,IF,20200902124003,20200908111752,NUMBER_ArgosPositioningClass2_COUNT,2,0.0
3,6902746,Argo technical data,3.1,1.2,IF,20200902124003,20200908111752,NUMBER_ArgosPositioningClass3_COUNT,1,0.0
4,6902746,Argo technical data,3.1,1.2,IF,20200902124003,20200908111752,NUMBER_ArgosPositioningClassA_COUNT,0,0.0
5,6902746,Argo technical data,3.1,1.2,IF,20200902124003,20200908111752,NUMBER_ArgosPositioningClassB_COUNT,0,0.0
6,6902746,Argo technical data,3.1,1.2,IF,20200902124003,20200908111752,NUMBER_ArgosPositioningClassZ_COUNT,0,0.0
7,6902746,Argo technical data,3.1,1.2,IF,20200902124003,20200908111752,NUMBER_ArgosPositions_COUNT,4,0.0
8,6902746,Argo technical data,3.1,1.2,IF,20200902124003,20200908111752,NUMBER_AscendingCTDSamplesInternalCounter_COUNT,0,0.0
9,6902746,Argo technical data,3.1,1.2,IF,20200902124003,20200908111752,NUMBER_AscendingCTDSamplesTotal_COUNT,0,0.0
10,6902746,Argo technical data,3.1,1.2,IF,20200902124003,20200908111752,NUMBER_DescendingCTDSamplesInternalCounter_COUNT,0,0.0
11,6902746,Argo technical data,3.1,1.2,IF,20200902124003,20200908111752,NUMBER_DescendingCTDSamplesTotal_COUNT,0,0.0
12,6902746,Argo technical data,3.1,1.2,IF,20200902124003,20200908111752,NUMBER_FloatFramesReceivedOnDescendingProfile_COUNT,0,0.0
13,6902746,Argo technical data,3.1,1.2,IF,20200902124003,20200908111752,NUMBER_FramesCrcOkOnPark_COUNT,0,0.0
14,6902746,Argo technical data,3.1,1.2,IF,20200902124003,20200908111752,NUMBER_FramesReceivedOnAscendingProfile_COUNT,0,0.0
15,6902746,Argo technical data,3.1,1.2,IF,20200902124003,20200908111752,NUMBER_ParkCTDSamplesTotal_COUNT,0,0.0
16,6902746,Argo technical data,3.1,1.2,IF,20200902124003,20200908111752,NUMBER_TransmissionFloatFramesComplete_COUNT,40,0.0
17,6902746,Argo technical data,3.1,1.2,IF,20200902124003,20200908111752,NUMBER_TransmissionFloatFramesCrcOk_COUNT,37,0.0
18,6902746,Argo technical data,3.1,1.2,IF,20200902124003,20200908111752,NUMBER_TransmissionFloatFramesTechnicalOk_COUNT,10,0.0
19,6902746,Argo technical data,3.1,1.2,IF,20200902124003,20200908111752,CLOCK_EndDescentToPark_DD,07,1.0
20,6902746,Argo technical data,3.1,1.2,IF,20200902124003,20200908111752,CLOCK_EndDescentToPark_HHMM,0047,1.0
21,6902746,Argo technical data,3.1,1.2,IF,20200902124003,20200908111752,CLOCK_EndDescentToProfile_HHMM,2137,1.0
22,6902746,Argo technical data,3.1,1.2,IF,20200902124003,20200908111752,CLOCK_FloatTimeCorrection_minutes,-1,1.0
23,6902746,Argo technical data,3.1,1.2,IF,20200902124003,20200908111752,CLOCK_FloatTime_DD,08,1.0
24,6902746,Argo technical data,3.1,1.2,IF,20200902124003,20200908111752,CLOCK_FloatTime_HHMMSS,080714,1.0
25,6902746,Argo technical data,3.1,1.2,IF,20200902124003,20200908111752,CLOCK_InitialStabilizationDuringDescentToPark_HHMM,1501,1.0
26,6902746,Argo technical data,3.1,1.2,IF,20200902124003,20200908111752,CLOCK_InitialValveActionDescentToPark_DD,06,1.0
27,6902746,Argo technical data,3.1,1.2,IF,20200902124003,20200908111752,CLOCK_InitialValveActionDescentToPark_HHMM,1409,1.0
28,6902746,Argo technical data,3.1,1.2,IF,20200902124003,20200908111752,CLOCK_InitialValveActionDescentToPark_MM,07,1.0
29,6902746,Argo technical data,3.1,1.2,IF,20200902124003,20200908111752,CLOCK_LastReset_DD,06,1.0
30,6902746,Argo technical data,3.1,1.2,IF,20200902124003,20200908111752,CLOCK_LastReset_MM,07,1.0
31,6902746,Argo technical data,3.1,1.2,IF,20200902124003,20200908111752,CLOCK_Satellite_YYYYMMDDHHMMSS,20170708080840,1.0
32,6902746,Argo technical data,3.1,1.2,IF,20200902124003,20200908111752,CLOCK_StartAscentToSurface_HHMM,0050,1.0
33,6902746,Argo technical data,3.1,1.2,IF,20200902124003,20200908111752,CLOCK_StartDescentProfile_HHMM,1449,1.0
34,6902746,Argo technical data,3.1,1.2,IF,20200902124003,20200908111752,CLOCK_StartDescentToProfile_HHMM,0917,1.0
35,6902746,Argo technical data,3.1,1.2,IF,20200902124003,20200908111752,CLOCK_TransmissionStart_HHMM,0703,1.0
36,6902746,Argo technical data,3.1,1.2,IF,20200902124003,20200908111752,FLAG_Beached_NUMBER,0,1.0
37,6902746,Argo technical data,3.1,1.2,IF,20200902124003,20200908111752,FLAG_CTDStatus_NUMBER,0,1.0
38,6902746,Argo technical data,3.1,1.2,IF,20200902124003,20200908111752,FLAG_InitialCheckError_LOGICAL,1,1.0
39,6902746,Argo technical data,3.1,1.2,IF,20200902124003,20200908111752,FLAG_RTCStatus_LOGICAL,1,1.0
40,6902746,Argo technical data,3.1,1.2,IF,20200902124003,20200908111752,FLAG_StatusBladderStateAtLaunch_NUMBER,0,1.0
41,6902746,Argo technical data,3.1,1.2,IF,20200902124003,20200908111752,NUMBER_ArgosPositioningClass0_COUNT,0,1.0
