N_MEASUREMENT,LATITUDE,LONGITUDE
0,20.07,-60.158
2,20.074,-60.161
3,20.073,-60.16399999999999
4,20.079,-60.16500000000002
5,20.079,-60.173
56,20.13,-60.13999999999999
57,20.13,-60.13999999999999
58,20.137,-60.13999999999999
59,20.137,-60.146000000000015
60,20.135,-60.14499999999998
61,20.134,-60.142
62,20.139,-60.15199999999999
63,20.144,-60.14999999999998
64,20.149,-60.15300000000002
65,20.147,-60.156000000000006
66,20.151,-60.158000000000015
67,20.148,-60.15899999999999
68,20.152,-60.166
69,20.155,-60.173
133,20.212,-59.99200000000002
134,20.211,-59.99599999999998
135,20.212,-59.99599999999998
136,20.212,-60.000999999999976
137,20.214,-60.00299999999999
138,20.212,-60.005
139,20.217,-60.01100000000002
140,20.219,-60.005
141,20.218,-60.00999999999999
142,20.217,-60.012
143,20.222,-60.01600000000002
144,20.228,-60.01999999999998
145,20.233,-60.02800000000002
210,20.16,-59.80399999999997
211,20.161,-59.80599999999998
212,20.153,-59.809000000000026
213,20.157,-59.80799999999999
214,20.154,-59.807000000000016
215,20.148,-59.81200000000001
216,20.149,-59.81599999999997
217,20.151,-59.81200000000001
218,20.141,-59.82400000000001
219,20.126,-59.82499999999999
285,19.923,-59.69900000000001
286,19.917,-59.69999999999999
287,19.916,-59.70400000000001
288,19.914,-59.704999999999984
289,19.909,-59.71100000000001
290,19.906,-59.70999999999998
291,19.905,-59.71300000000002
292,19.897,-59.71699999999999
293,19.894,-59.72399999999999
294,19.888,-59.73000000000002
295,19.881,-59.731
296,19.881,-59.743
362,19.652,-59.72300000000001
363,19.656,-59.71699999999999
364,19.642,-59.71600000000001
365,19.641,-59.72800000000001
366,19.646,-59.71699999999999
367,19.644,-59.702
368,19.645,-59.707
369,19.642,-59.70999999999998
370,19.642,-59.71199999999999
371,19.645,-59.707
372,19.645,-59.702999999999975
373,19.647,-59.69499999999999
374,19.647,-59.68900000000002
375,19.651,-59.68900000000002
440,19.469,-59.747000000000014
441,19.467,-59.75
442,19.477,-59.750999999999976
443,19.473,-59.75299999999999
444,19.475,-59.75200000000001
445,19.481,-59.75299999999999
446,19.484,-59.75799999999998
447,19.487,-59.75799999999998
448,19.495,-59.75799999999998
449,19.501,-59.757000000000005
450,19.508,-59.757000000000005
515,19.395,-59.83800000000002
516,19.394,-59.829999999999984
517,19.395,-59.827999999999975
518,19.404,-59.82600000000002
519,19.404,-59.82600000000002
520,19.407,-59.82400000000001
521,19.419,-59.81599999999997
522,19.418,-59.81599999999997
523,19.427,-59.81099999999998
524,19.434,-59.80500000000001
525,19.441,-59.80500000000001
