N_MEASUREMENT,LATITUDE,LONGITUDE,PRES,TEMP,PSAL
0,20.07,-60.158,,,
1,,,,,
2,20.074,-60.161,,,
3,20.073,-60.16399999999999,,,
4,20.079,-60.16500000000002,,,
5,20.079,-60.173,,,
6,,,,,
7,,,,,
8,,,,,
9,,,,,
10,,,30.0,,
11,,,9.0,28.038,36.056
12,,,55.0,26.539,36.947
13,,,125.0,24.445,37.303
14,,,174.0,21.671,37.02
15,,,264.0,18.491,36.61
16,,,314.0,17.646,36.482
17,,,487.0,13.651,35.816
18,,,562.0,12.169,35.598
19,,,629.0,11.001,35.428
20,,,630.0,,
21,,,,,
22,,,646.0,10.438,35.346
23,,,596.0,11.686,35.525
24,,,587.0,11.84,35.55
25,,,,,
26,,,586.0,,
27,,,655.0,,
28,,,609.6667,11.321333,35.473667
29,,,2000.0,,
30,,,,,
31,,,,,
32,,,1990.0,,
33,,,2000.0,,
34,,,2001.0,3.672,34.971
35,,,2001.0,3.672,34.971
36,,,1888.0,3.807,34.974
37,,,1663.0,4.242,34.996
38,,,1538.0,4.508,35.008
39,,,1313.0,5.223,35.016
40,,,1188.0,5.582,34.984
41,,,1013.0,6.137,34.872
42,,,888.0,6.53,34.809
43,,,713.0,8.925,35.1
44,,,588.0,11.874,35.551
45,,,413.0,15.459,36.126
46,,,305.0,17.698,36.486
47,,,235.0,19.157,36.703
48,,,166.0,21.993,37.09
49,,,96.0,25.194,37.252
50,,,46.0,26.939,37.009
51,,,7.0,27.967,35.89
52,,,2.0,27.966,35.889
53,,,,,
54,,,,,
55,,,,,
56,20.13,-60.139999999999986,,,
57,20.13,-60.139999999999986,,,
58,20.137,-60.139999999999986,,,
59,20.137,-60.146000000000015,,,
60,20.135,-60.14499999999998,,,
61,20.134,-60.141999999999996,,,
62,20.139,-60.15199999999999,,,
63,20.144,-60.14999999999998,,,
64,20.149,-60.15300000000002,,,
65,20.147,-60.156000000000006,,,
66,20.151,-60.158000000000015,,,
67,20.148,-60.15899999999999,,,
68,20.152,-60.166,,,
69,20.155,-60.173,,,
70,,,,,
71,,,,,
72,,,,,
73,,,,,
74,,,30.0,,
75,,,630.0,,
76,,,,,
77,,,593.0,11.788,35.543
78,,,588.0,12.142,35.592
79,,,583.0,11.971,35.567
80,,,591.0,11.615,35.519
81,,,598.0,11.445,35.491
82,,,602.0,11.591,35.513
83,,,598.0,11.602,35.516
84,,,598.0,11.671,35.524
85,,,599.0,11.586,35.515
86,,,600.0,11.604,35.516
87,,,595.0,11.905,35.559
88,,,597.0,11.644,35.521
89,,,601.0,11.382,35.483
90,,,625.0,10.956,35.398
91,,,614.0,11.144,35.44
92,,,626.0,10.904,35.388
93,,,605.0,11.611,35.517
94,,,605.0,11.586,35.513
95,,,604.0,11.753,35.537
96,,,600.0,11.647,35.522
97,,,605.0,11.112,35.437
98,,,625.0,10.921,35.393
99,,,630.0,10.928,35.394
100,,,629.0,10.969,35.399
101,,,613.0,11.206,35.453
102,,,625.0,10.848,35.38
103,,,,,
104,,,582.0,,
105,,,633.0,,
106,,,605.7308,11.4435,35.485767
107,,,1990.0,,
108,,,,,
109,,,,,
110,,,1980.0,,
111,,,1990.0,,
112,,,1986.0,3.767,34.985
113,,,1986.0,3.767,34.985
114,,,1813.0,3.987,34.989
115,,,1639.0,4.339,35.005
116,,,1462.0,4.795,35.022
117,,,1287.0,5.288,35.011
118,,,1113.0,5.864,34.941
119,,,938.0,6.689,34.879
120,,,813.0,7.096,34.828
121,,,638.0,10.706,35.376
122,,,513.0,13.465,35.787
123,,,346.0,17.251,36.419
124,,,275.0,18.403,36.587
125,,,205.0,20.809,36.987
126,,,135.0,24.357,37.339
127,,,65.0,26.398,37.132
128,,,15.0,27.969,35.309
129,,,4.0,27.967,35.18
130,,,,,
131,,,,,
132,,,,,
133,20.212,-59.99200000000002,,,
134,20.211,-59.99599999999998,,,
135,20.212,-59.99599999999998,,,
136,20.212,-60.000999999999976,,,
137,20.214,-60.002999999999986,,,
138,20.212,-60.004999999999995,,,
139,20.217,-60.011000000000024,,,
140,20.219,-60.004999999999995,,,
141,20.218,-60.00999999999999,,,
142,20.217,-60.012,,,
143,20.222,-60.01600000000002,,,
144,20.228,-60.01999999999998,,,
145,20.233,-60.02800000000002,,,
146,,,,,
147,,,,,
148,,,,,
149,,,,,
150,,,30.0,,
151,,,600.0,,
152,,,,,
153,,,635.0,10.636,35.355
154,,,649.0,10.589,35.354
155,,,551.0,12.674,35.67
156,,,655.0,10.195,35.253
157,,,588.0,12.077,35.588
158,,,607.0,11.64,35.522
159,,,608.0,11.611,35.521
160,,,610.0,11.734,35.534
161,,,609.0,11.583,35.514
162,,,612.0,11.542,35.506
163,,,613.0,11.36,35.477
164,,,640.0,10.641,35.351
165,,,612.0,11.587,35.514
166,,,628.0,10.873,35.395
167,,,630.0,11.056,35.418
168,,,623.0,11.466,35.492
169,,,614.0,11.51,35.499
170,,,621.0,11.473,35.492
171,,,622.0,11.444,35.49
172,,,617.0,11.472,35.5
173,,,611.0,11.528,35.508
174,,,619.0,11.289,35.465
175,,,630.0,11.431,35.484
176,,,632.0,10.935,35.397
177,,,643.0,10.583,35.34
178,,,649.0,10.588,35.34
179,,,644.0,10.583,35.344
180,,,,,
181,,,527.0,,
182,,,658.0,,
