N_TECH_PARAM,PLATFORM_NUMBER,DATA_TYPE,FORMAT_VERSION,HANDBOOK_VERSION,DATA_CENTRE,DATE_CREATION,DATE_UPDATE,TECHNICAL_PARAMETER_NAME,TECHNICAL_PARAMETER_VALUE,CYCLE_NUMBER
0,b'6902746 ',b'Argo technical data             ',b'3.1 ',b'1.2 ',b'IF',b'20200902124003',b'20200908111752',b'NUMBER_ArgosPositioningClass0_COUNT                                                                                             ',b'0                                                                                                                               ',0.0
1,b'6902746 ',b'Argo technical data             ',b'3.1 ',b'1.2 ',b'IF',b'20200902124003',b'20200908111752',b'NUMBER_ArgosPositioningClass1_COUNT                                                                                             ',b'1                                                                                                                               ',0.0
2,b'6902746 ',b'Argo technical data             ',b'3.1 ',b'1.2 ',b'IF',b'20200902124003',b'20200908111752',b'NUMBER_ArgosPositioningClass2_COUNT                                                                                             ',b'2                                                                                                                               ',0.0
3,b'6902746 ',b'Argo technical data             ',b'3.1 ',b'1.2 ',b'IF',b'20200902124003',b'20200908111752',b'NUMBER_ArgosPositioningClass3_COUNT                                                                                             ',b'1                                                                                                                               ',0.0
4,b'6902746 ',b'Argo technical data             ',b'3.1 ',b'1.2 ',b'IF',b'20200902124003',b'20200908111752',b'NUMBER_ArgosPositioningClassA_COUNT                                                                                             ',b'0                                                                                                                               ',0.0
5,b'6902746 ',b'Argo technical data             ',b'3.1 ',b'1.2 ',b'IF',b'20200902124003',b'20200908111752',b'NUMBER_ArgosPositioningClassB_COUNT                                                                                             ',b'0                                                                                                                               ',0.0
6,b'6902746 ',b'Argo technical data             ',b'3.1 ',b'1.2 ',b'IF',b'20200902124003',b'20200908111752',b'NUMBER_ArgosPositioningClassZ_COUNT                                                                                             ',b'0                                                                                                                               ',0.0
7,b'6902746 ',b'Argo technical data             ',b'3.1 ',b'1.2 ',b'IF',b'20200902124003',b'20200908111752',b'NUMBER_ArgosPositions_COUNT                                                                                                     ',b'4                                                                                                                               ',0.0
8,b'6902746 ',b'Argo technical data             ',b'3.1 ',b'1.2 ',b'IF',b'20200902124003',b'20200908111752',b'NUMBER_AscendingCTDSamplesInternalCounter_COUNT                                                                                 ',b'0                                                                                                                               ',0.0
9,b'6902746 ',b'Argo technical data             ',b'3.1 ',b'1.2 ',b'IF',b'20200902124003',b'20200908111752',b'NUMBER_AscendingCTDSamplesTotal_COUNT                                                                                           ',b'0                                                                                                                               ',0.0
10,b'6902746 ',b'Argo technical data             ',b'3.1 ',b'1.2 ',b'IF',b'20200902124003',b'20200908111752',b'NUMBER_DescendingCTDSamplesInternalCounter_COUNT                                                                                ',b'0                                                                                                                               ',0.0
11,b'6902746 ',b'Argo technical data             ',b'3.1 ',b'1.2 ',b'IF',b'20200902124003',b'20200908111752',b'NUMBER_DescendingCTDSamplesTotal_COUNT                                                                                          ',b'0                                                                                                                               ',0.0
12,b'6902746 ',b'Argo technical data             ',b'3.1 ',b'1.2 ',b'IF',b'20200902124003',b'20200908111752',b'NUMBER_FloatFramesReceivedOnDescendingProfile_COUNT                                                                             ',b'0                                                                                                                               ',0.0
13,b'6902746 ',b'Argo technical data             ',b'3.1 ',b'1.2 ',b'IF',b'20200902124003',b'20200908111752',b'NUMBER_FramesCrcOkOnPark_COUNT                                                                                                  ',b'0                                                                                                                               ',0.0
14,b'6902746 ',b'Argo technical data             ',b'3.1 ',b'1.2 ',b'IF',b'20200902124003',b'20200908111752',b'NUMBER_FramesReceivedOnAscendingProfile_COUNT                                                                                   ',b'0                                                                                                                               ',0.0
15,b'6902746 ',b'Argo technical data             ',b'3.1 ',b'1.2 ',b'IF',b'20200902124003',b'20200908111752',b'NUMBER_ParkCTDSamplesTotal_COUNT                                                                                                ',b'0                                                                                                                               ',0.0
16,b'6902746 ',b'Argo technical data             ',b'3.1 ',b'1.2 ',b'IF',b'20200902124003',b'20200908111752',b'NUMBER_TransmissionFloatFramesComplete_COUNT                                                                                    ',b'40                                                                                                                              ',0.0
17,b'6902746 ',b'Argo technical data             ',b'3.1 ',b'1.2 ',b'IF',b'20200902124003',b'20200908111752',b'NUMBER_TransmissionFloatFramesCrcOk_COUNT                                                                                       ',b'37                                                                                                                              ',0.0
18,b'6902746 ',b'Argo technical data             ',b'3.1 ',b'1.2 ',b'IF',b'20200902124003',b'20200908111752',b'NUMBER_TransmissionFloatFramesTechnicalOk_COUNT                                                                                 ',b'10                                                                                                                              ',0.0
19,b'6902746 ',b'Argo technical data             ',b'3.1 ',b'1.2 ',b'IF',b'20200902124003',b'20200908111752',b'CLOCK_EndDescentToPark_DD                                                                                                       ',b'07                                                                                                                              ',1.0
20,b'6902746 ',b'Argo technical data             ',b'3.1 ',b'1.2 ',b'IF',b'20200902124003',b'20200908111752',b'CLOCK_EndDescentToPark_HHMM                                                                                                     ',b'0047                                                                                                                            ',1.0
21,b'6902746 ',b'Argo technical data             ',b'3.1 ',b'1.2 ',b'IF',b'20200902124003',b'20200908111752',b'CLOCK_EndDescentToProfile_HHMM                                                                                                  ',b'2137                                                                                                                            ',1.0
22,b'6902746 ',b'Argo technical data             ',b'3.1 ',b'1.2 ',b'IF',b'20200902124003',b'20200908111752',b'CLOCK_FloatTimeCorrection_minutes                                                                                               ',b'-1                                                                                                                              ',1.0
23,b'6902746 ',b'Argo technical data             ',b'3.1 ',b'1.2 ',b'IF',b'20200902124003',b'20200908111752',b'CLOCK_FloatTime_DD                                                                                                              ',b'08                                                                                                                              ',1.0
24,b'6902746 ',b'Argo technical data             ',b'3.1 ',b'1.2 ',b'IF',b'20200902124003',b'20200908111752',b'CLOCK_FloatTime_HHMMSS                                                                                                          ',b'080714                                                                                                                          ',1.0
25,b'6902746 ',b'Argo technical data             ',b'3.1 ',b'1.2 ',b'IF',b'20200902124003',b'20200908111752',b'CLOCK_InitialStabilizationDuringDescentToPark_HHMM                                                                              ',b'1501                                                                                                                            ',1.0
26,b'6902746 ',b'Argo technical data             ',b'3.1 ',b'1.2 ',b'IF',b'20200902124003',b'20200908111752',b'CLOCK_InitialValveActionDescentToPark_DD                                                                                        ',b'06                                                                                                                              ',1.0
27,b'6902746 ',b'Argo technical data             ',b'3.1 ',b'1.2 ',b'IF',b'20200902124003',b'20200908111752',b'CLOCK_InitialValveActionDescentToPark_HHMM                                                                                      ',b'1409                                                                                                                            ',1.0
28,b'6902746 ',b'Argo technical data             ',b'3.1 ',b'1.2 ',b'IF',b'20200902124003',b'20200908111752',b'CLOCK_InitialValveActionDescentToPark_MM                                                                                        ',b'07                                                                                                                              ',1.0
29,b'6902746 ',b'Argo technical data             ',b'3.1 ',b'1.2 ',b'IF',b'20200902124003',b'20200908111752',b'CLOCK_LastReset_DD                                                                                                              ',b'06                                                                                                                              ',1.0
30,b'6902746 ',b'Argo technical data             ',b'3.1 ',b'1.2 ',b'IF',b'20200902124003',b'20200908111752',b'CLOCK_LastReset_MM                                                                                                              ',b'07                                                                                                                              ',1.0
31,b'6902746 ',b'Argo technical data             ',b'3.1 ',b'1.2 ',b'IF',b'20200902124003',b'20200908111752',b'CLOCK_Satellite_YYYYMMDDHHMMSS                                                                                                  ',b'20170708080840                                                                                                                  ',1.0
32,b'6902746 ',b'Argo technical data             ',b'3.1 ',b'1.2 ',b'IF',b'20200902124003',b'20200908111752',b'CLOCK_StartAscentToSurface_HHMM                                                                                                 ',b'0050                                                                                                                            ',1.0
33,b'6902746 ',b'Argo technical data             ',b'3.1 ',b'1.2 ',b'IF',b'20200902124003',b'20200908111752',b'CLOCK_StartDescentProfile_HHMM                                                                                                  ',b'1449                                                                                                                            ',1.0
34,b'6902746 ',b'Argo technical data             ',b'3.1 ',b'1.2 ',b'IF',b'20200902124003',b'20200908111752',b'CLOCK_StartDescentToProfile_HHMM                                                                                                ',b'0917                                                                                                                            ',1.0
35,b'6902746 ',b'Argo technical data             ',b'3.1 ',b'1.2 ',b'IF',b'20200902124003',b'20200908111752',b'CLOCK_TransmissionStart_HHMM                                                                                                    ',b'0703                                                                                                                            ',1.0
36,b'6902746 ',b'Argo technical data             ',b'3.1 ',b'1.2 ',b'IF',b'20200902124003',b'20200908111752',b'FLAG_Beached_NUMBER                                                                                                             ',b'0                                                                                                                               ',1.0
37,b'6902746 ',b'Argo technical data             ',b'3.1 ',b'1.2 ',b'IF',b'20200902124003',b'20200908111752',b'FLAG_CTDStatus_NUMBER                                                                                                           ',b'0                                                                                                                               ',1.0
38,b'6902746 ',b'Argo technical data             ',b'3.1 ',b'1.2 ',b'IF',b'20200902124003',b'20200908111752',b'FLAG_InitialCheckError_LOGICAL                                                                                                  ',b'1                                                                                                                               ',1.0
39,b'6902746 ',b'Argo technical data             ',b'3.1 ',b'1.2 ',b'IF',b'20200902124003',b'20200908111752',b'FLAG_RTCStatus_LOGICAL                                                                                                          ',b'1                                                                                                                               ',1.0
40,b'6902746 ',b'Argo technical data             ',b'3.1 ',b'1.2 ',b'IF',b'20200902124003',b'20200908111752',b'FLAG_StatusBladderStateAtLaunch_NUMBER                                                                                          ',b'0                                                                                                                               ',1.0
41,b'6902746 ',b'Argo technical data             ',b'3.1 ',b'1.2 ',b'IF',b'20200902124003',b'20200908111752',b'NUMBER_ArgosPositioningClass0_COUNT                                                                                             ',b'0                                                                                                                               ',1.0
42,b'6902746 ',b'Argo technical data             ',b'3.1 ',b'1.2 ',b'IF',b'20200902124003',b'20200908111752',b'NUMBER_ArgosPositioningClass1_COUNT                                                                                             ',b'6                                                                                                                               ',1.0
43,b'6902746 ',b'Argo technical data             ',b'3.1 ',b'1.2 ',b'IF',b'20200902124003',b'20200908111752',b'NUMBER_ArgosPositioningClass2_COUNT                                                                                             ',b'3                                                                                                                               ',1.0
44,b'6902746 ',b'Argo technical data             ',b'3.1 ',b'1.2 ',b'IF',b'20200902124003',b'20200908111752',b'NUMBER_ArgosPositioningClass3_COUNT                                                                                             ',b'5                                                                                                                               ',1.0
45,b'6902746 ',b'Argo technical data             ',b'3.1 ',b'1.2 ',b'IF',b'20200902124003',b'20200908111752',b'NUMBER_ArgosPositioningClassA_COUNT                                                                                             ',b'0                                                                                                                               ',1.0
46,b'6902746 ',b'Argo technical data             ',b'3.1 ',b'1.2 ',b'IF',b'20200902124003',b'20200908111752',b'NUMBER_ArgosPositioningClassB_COUNT                                                                                             ',b'0                                                                                                                               ',1.0
47,b'6902746 ',b'Argo technical data             ',b'3.1 ',b'1.2 ',b'IF',b'20200902124003',b'20200908111752',b'NUMBER_ArgosPositioningClassZ_COUNT                                                                                             ',b'0                                                                                                                               ',1.0
48,b'6902746 ',b'Argo technical data             ',b'3.1 ',b'1.2 ',b'IF',b'20200902124003',b'20200908111752',b'NUMBER_ArgosPositions_COUNT                                                                                                     ',b'14                                                                                                                              ',1.0
49,b'6902746 ',b'Argo technical data             ',b'3.1 ',b'1.2 ',b'IF',b'20200902124003',b'20200908111752',b'NUMBER_AscendingCTDSamplesInternalCounter_COUNT                                                                                 ',b'112                                                                                                                             ',1.0
50,b'6902746 ',b'Argo technical data             ',b'3.1 ',b'1.2 ',b'IF',b'20200902124003',b'20200908111752',b'NUMBER_AscendingCTDSamplesTotal_COUNT                                                                                           ',b'112                                                                                                                             ',1.0
51,b'6902746 ',b'Argo technical data             ',b'3.1 ',b'1.2 ',b'IF',b'20200902124003',b'20200908111752',b'NUMBER_AscendingProfileReductionLowerPart_COUNT                                                                                 ',b'67                                                                                                                              ',1.0
52,b'6902746 ',b'Argo technical data             ',b'3.1 ',b'1.2 ',b'IF',b'20200902124003',b'20200908111752',b'NUMBER_AscendingProfileReductionUpperPart_COUNT                                                                                 ',b'45                                                                                                                              ',1.0
53,b'6902746 ',b'Argo technical data             ',b'3.1 ',b'1.2 ',b'IF',b'20200902124003',b'20200908111752',b'NUMBER_DescendingCTDSamplesInternalCounter_COUNT                                                                                ',b'47                                                                                                                              ',1.0
54,b'6902746 ',b'Argo technical data             ',b'3.1 ',b'1.2 ',b'IF',b'20200902124003',b'20200908111752',b'NUMBER_DescendingCTDSamplesTotal_COUNT                                                                                          ',b'47                                                                                                                              ',1.0
55,b'6902746 ',b'Argo technical data             ',b'3.1 ',b'1.2 ',b'IF',b'20200902124003',b'20200908111752',b'NUMBER_DescendingProfileReductionLowerPart_COUNT                                                                                ',b'12                                                                                                                              ',1.0
56,b'6902746 ',b'Argo technical data             ',b'3.1 ',b'1.2 ',b'IF',b'20200902124003',b'20200908111752',b'NUMBER_DescendingProfileReductionUpperPart_COUNT                                                                                ',b'35                                                                                                                              ',1.0
57,b'6902746 ',b'Argo technical data             ',b'3.1 ',b'1.2 ',b'IF',b'20200902124003',b'20200908111752',b'NUMBER_DescentToParkEntriesInParkMargin_COUNT                                                                                   ',b'3                                                                                                                               ',1.0
58,b'6902746 ',b'Argo technical data             ',b'3.1 ',b'1.2 ',b'IF',b'20200902124003',b'20200908111752',b'NUMBER_DescentToProfileEntriesInProfileMargin_COUNT                                                                             ',b'1                                                                                                                               ',1.0
59,b'6902746 ',b'Argo technical data             ',b'3.1 ',b'1.2 ',b'IF',b'20200902124003',b'20200908111752',b'NUMBER_FloatFramesReceivedOnDescendingProfile_COUNT                                                                             ',b'8                                                                                                                               ',1.0
60,b'6902746 ',b'Argo technical data             ',b'3.1 ',b'1.2 ',b'IF',b'20200902124003',b'20200908111752',b'NUMBER_FramesCrcOkOnPark_COUNT                                                                                                  ',b'1                                                                                                                               ',1.0
61,b'6902746 ',b'Argo technical data             ',b'3.1 ',b'1.2 ',b'IF',b'20200902124003',b'20200908111752',b'NUMBER_FramesEmittedOnAscendingProfile_COUNT                                                                                    ',b'18                                                                                                                              ',1.0
62,b'6902746 ',b'Argo technical data             ',b'3.1 ',b'1.2 ',b'IF',b'20200902124003',b'20200908111752',b'NUMBER_FramesEmittedOnDescendingProfile_COUNT                                                                                   ',b'8                                                                                                                               ',1.0
63,b'6902746 ',b'Argo technical data             ',b'3.1 ',b'1.2 ',b'IF',b'20200902124003',b'20200908111752',b'NUMBER_FramesEmittedOnPark_COUNT                                                                                                ',b'1                                                                                                                               ',1.0
64,b'6902746 ',b'Argo technical data             ',b'3.1 ',b'1.2 ',b'IF',b'20200902124003',b'20200908111752',b'NUMBER_FramesReceivedOnAscendingProfile_COUNT                                                                                   ',b'18                                                                                                                              ',1.0
65,b'6902746 ',b'Argo technical data             ',b'3.1 ',b'1.2 ',b'IF',b'20200902124003',b'20200908111752',b'NUMBER_ParkCTDSamplesInternal_COUNT                                                                                             ',b'3                                                                                                                               ',1.0
66,b'6902746 ',b'Argo technical data             ',b'3.1 ',b'1.2 ',b'IF',b'20200902124003',b'20200908111752',b'NUMBER_ParkCTDSamplesTotal_COUNT                                                                                                ',b'3                                                                                                                               ',1.0
67,b'6902746 ',b'Argo technical data             ',b'3.1 ',b'1.2 ',b'IF',b'20200902124003',b'20200908111752',b'NUMBER_PumpActionsDuringAscentToSurface_COUNT                                                                                   ',b'14                                                                                                                              ',1.0
68,b'6902746 ',b'Argo technical data             ',b'3.1 ',b'1.2 ',b'IF',b'20200902124003',b'20200908111752',b'NUMBER_PumpActionsDuringDescentToPark_COUNT                                                                                     ',b'2                                                                                                                               ',1.0
69,b'6902746 ',b'Argo technical data             ',b'3.1 ',b'1.2 ',b'IF',b'20200902124003',b'20200908111752',b'NUMBER_PumpActionsDuringDescentToProfile_COUNT                                                                                  ',b'0                                                                                                                               ',1.0
70,b'6902746 ',b'Argo technical data             ',b'3.1 ',b'1.2 ',b'IF',b'20200902124003',b'20200908111752',b'NUMBER_PumpActionsDuringPark_COUNT                                                                                              ',b'2                                                                                                                               ',1.0
71,b'6902746 ',b'Argo technical data             ',b'3.1 ',b'1.2 ',b'IF',b'20200902124003',b'20200908111752',b'NUMBER_PumpActionsDuringProfileDrift_COUNT                                                                                      ',b'0                                                                                                                               ',1.0
72,b'6902746 ',b'Argo technical data             ',b'3.1 ',b'1.2 ',b'IF',b'20200902124003',b'20200908111752',b'NUMBER_PumpActionsToStartAscent_COUNT                                                                                           ',b'2                                                                                                                               ',1.0
73,b'6902746 ',b'Argo technical data             ',b'3.1 ',b'1.2 ',b'IF',b'20200902124003',b'20200908111752',b'NUMBER_RepositionsAtProfileDepth_COUNT                                                                                          ',b'0                                                                                                                               ',1.0
74,b'6902746 ',b'Argo technical data             ',b'3.1 ',b'1.2 ',b'IF',b'20200902124003',b'20200908111752',b'NUMBER_RepositionsDuringPark_COUNT                                                                                              ',b'1                                                                                                                               ',1.0
75,b'6902746 ',b'Argo technical data             ',b'3.1 ',b'1.2 ',b'IF',b'20200902124003',b'20200908111752',b'NUMBER_TransmissionFloatFramesComplete_COUNT                                                                                    ',b'202                                                                                                                             ',1.0
76,b'6902746 ',b'Argo technical data             ',b'3.1 ',b'1.2 ',b'IF',b'20200902124003',b'20200908111752',b'NUMBER_TransmissionFloatFramesCrcOk_COUNT                                                                                       ',b'167                                                                                                                             ',1.0
77,b'6902746 ',b'Argo technical data             ',b'3.1 ',b'1.2 ',b'IF',b'20200902124003',b'20200908111752',b'NUMBER_TransmissionFloatFramesTechnicalOk_COUNT                                                                                 ',b'7                                                                                                                               ',1.0
78,b'6902746 ',b'Argo technical data             ',b'3.1 ',b'1.2 ',b'IF',b'20200902124003',b'20200908111752',b'NUMBER_ValveActionsAtSurfaceDuringDescent_COUNT                                                                                 ',b'30                                                                                                                              ',1.0
79,b'6902746 ',b'Argo technical data             ',b'3.1 ',b'1.2 ',b'IF',b'20200902124003',b'20200908111752',b'NUMBER_ValveActionsDuringDescentToPark_COUNT                                                                                    ',b'8                                                                                                                               ',1.0
80,b'6902746 ',b'Argo technical data             ',b'3.1 ',b'1.2 ',b'IF',b'20200902124003',b'20200908111752',b'NUMBER_ValveActionsDuringDescentToProfile_COUNT                                                                                 ',b'8                                                                                                                               ',1.0
81,b'6902746 ',b'Argo technical data             ',b'3.1 ',b'1.2 ',b'IF',b'20200902124003',b'20200908111752',b'NUMBER_ValveActionsDuringPark_COUNT                                                                                             ',b'0                                                                                                                               ',1.0
82,b'6902746 ',b'Argo technical data             ',b'3.1 ',b'1.2 ',b'IF',b'20200902124003',b'20200908111752',b'NUMBER_ValveActionsDuringProfileDrift_COUNT                                                                                     ',b'0                                                                                                                               ',1.0
83,b'6902746 ',b'Argo technical data             ',b'3.1 ',b'1.2 ',b'IF',b'20200902124003',b'20200908111752',b'PRESSURE_InternalVacuumAtSurface_mbar                                                                                           ',b'<=725 mbar                                                                                                                      ',1.0
84,b'6902746 ',b'Argo technical data             ',b'3.1 ',b'1.2 ',b'IF',b'20200902124003',b'20200908111752',b'PRESSURE_InternalVacuumProfileStart_mbar                                                                                        ',b'<=725 mbar                                                                                                                      ',1.0
85,b'6902746 ',b'Argo technical data             ',b'3.1 ',b'1.2 ',b'IF',b'20200902124003',b'20200908111752',b'PRES_SurfaceOffsetCorrectedNotResetNegative_1cBarResolution_dbar                                                                ',b'-0.2                                                                                                                            ',1.0
86,b'6902746 ',b'Argo technical data             ',b'3.1 ',b'1.2 ',b'IF',b'20200902124003',b'20200908111752',b'TIME_ValveActionsAtSurface_seconds                                                                                              ',b'0                                                                                                                               ',1.0
87,b'6902746 ',b'Argo technical data             ',b'3.1 ',b'1.2 ',b'IF',b'20200902124003',b'20200908111752',b'VOLTAGE_BatteryPumpStartProfile_volts                                                                                           ',b'9.6                                                                                                                             ',1.0
88,b'6902746 ',b'Argo technical data             ',b'3.1 ',b'1.2 ',b'IF',b'20200902124003',b'20200908111752',b'CLOCK_TransmissionStart_DD                                                                                                      ',b'08                                                                                                                              ',1.0
89,b'6902746 ',b'Argo technical data             ',b'3.1 ',b'1.2 ',b'IF',b'20200902124003',b'20200908111752',b'NUMBER_TelemetryRetransmission_COUNT                                                                                            ',b'30                                                                                                                              ',1.0
90,b'6902746 ',b'Argo technical data             ',b'3.1 ',b'1.2 ',b'IF',b'20200902124003',b'20200908111752',b'CLOCK_EndDescentToPark_DD                                                                                                       ',b'09                                                                                                                              ',2.0
91,b'6902746 ',b'Argo technical data             ',b'3.1 ',b'1.2 ',b'IF',b'20200902124003',b'20200908111752',b'CLOCK_EndDescentToPark_HHMM                                                                                                     ',b'0120                                                                                                                            ',2.0
